UID,Age,Birthday,Gender,Province,City,Marital_State,Individual_Description,Blog,Comment
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 温柔 的 力量 [ 超话 ] #       # 朱一龙   并肩 前行 #     【 朱一龙 】 你 的 眉眼 有 落日 馀 晖 ， 有 星辰 万象 ， 见 你 后 我 便 知道 ， 我来 这 尘世 一遭 ， 只为 来 感受 你 的 温柔 和 你 眼里 的 山河     （ 朱一龙 纯情 又 生动 的 数据 小尾巴 ～ ）,是 镜头 前 的 专业 演员 ， 也 是 生活 中 的 可爱 男孩 ， 时光 打磨 了 他 的 演技 ， 又 给 他 留下 一如既往 真诚 的 内心 ， 这 就是 演员 朱一龙     （ 求捞 置顶 ）
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 温柔 的 力量 [ 超话 ] #       # 朱一龙   并肩 前行 #     【 朱一龙 】 你 的 眉眼 有 落日 馀 晖 ， 有 星辰 万象 ， 见 你 后 我 便 知道 ， 我来 这 尘世 一遭 ， 只为 来 感受 你 的 温柔 和 你 眼里 的 山河     （ 朱一龙 纯情 又 生动 的 数据 小尾巴 ～ ）,（ 回捞 置顶 ） 朱一龙   许 你 浮生若梦   朱一龙   罗 浮生   朱一龙   演技   朱一龙   公子 景   朱一龙   益路 同行   朱一龙   善举 的 力量   朱一龙   巴黎 时装周   朱一龙   好看     朱一龙   英俊潇洒
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 [ 超话 ] #     # LongCaring 一辈子 宠 你 #   初冬 的 凉意 弥漫 街头 ， 在 地铁 熙攘 人群 中 ， 邂逅 温柔 的 暖意 ， 偶遇 初心 的 悸动 。   妮维雅 地铁 动态 LED 投放 于 今日 11 月 15 日 上线 ，   上海 的 小笼包 们 可以 出门 偶遇 爱情 哦   具体 线路 详见 图示 ~,啊啊啊 啊 啊
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,专注 我 哥哥           是 底线   触及 会 瞬间 化身 毒唯 撕 你 哦       不 嗑 rps ， 不站 cp ， 散粉 一枚   为了 哥哥 努力学习 产粮 中 。     大家 一起 快落 的 吸居 吧     # 朱一龙 #     # 朱一龙   并肩 前行 #       # 朱一龙 [ 超话 ] #           # 朱一龙 温柔 的 力量 #,（ 求回 置顶 ）   朱一龙罗 浮生     朱一 龙井 然     朱一龙许 你 浮生若梦     公子 景   朱一龙     朱一龙   幻乐 之城     朱一龙   知否   朱一龙   我 的 真 朋友   朱一龙   新 边城 浪子   朱一龙   新 萧 十一郎   朱一龙 纯情 生动
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙   并肩 前行 #   『 朱一龙 』   喜欢 初春 的 树 ， 盛夏 的 风 ， 深秋 的 雨 ， 冬至 的 雪 ， 和 每天 的 你 。,# 朱一龙 [ 超话 ] #   朱一龙 ， 隔 着 人山人海 ， 能 看到 你 ， 走近 你 ， 喜欢 你 ， 真的 很 幸运 。
119,39.0,29192,1,3,5,6,一个 快乐 滴 追星 号,# 朱一龙 温柔 的 力量 [ 超话 ] #   # 朱一龙   并肩 前行 #     朱一龙   十年 磨砺 方 出鞘 ， 一路 走来 是 说不出 的 经历 。 期待 君子 端方 如玉 的 齐衡 ， 我 的 真 朋友 井然 ， 盗墓 重启 小 三爷 ， 期待 每 一个 你 。,# 朱一龙 [ 超话 ] # 『 朱一龙 』 我 想 送 你 一片 星海 ， 装进 所有 的 美梦 ， 都 给 你 ； 我 想 送 你 整个 宇宙 ， 浩瀚无垠 永无 边际 ， 只有 你 ， 是 唯一 。
122,19.0,36305,1,6,0,0,1999   Girl   xx   #   ️,( ੭ • ̀ ᴗ • ̀ ) ੭ 陈 十六 だ よ,我 是 王 十八
122,19.0,36305,1,6,0,0,1999   Girl   xx   #   ️,( ੭ • ̀ ᴗ • ̀ ) ੭ 陈 十六 だ よ,啥 东西
130,0.0,0,1,6,0,0,一个 非专业 的 瑜 吹,我 到底 在 个 什么 群   那么 好看 的   不看 不聊   一直 在 聊用 什么 方式 蹲厕所,消化系统 都 不太好 的 样子
133,20.0,35801,1,6,0,0,本博主纯 花痴 一枚,    “ 乐作 人生 Sing   for   Life ” 巡回演唱 会 北京 场 视频 来 啦 ~ 小哇 身穿 闪片 燕尾服 开场 ， 一首 《 猎人 》 点燃 现场 气氛 [ 小 仙女 ] [ 小 仙女 ] [ 小 仙女 ],视觉 盛宴
134,39.0,29033,0,2,0,7,“ 热爱 一件 事 ， 真正 的 模样 ， 不是 锱铢必较 的 取舍 ， 不是 进退 有据 的 权衡 ， 而是 不由自主 的 吸引 ， 心甘情愿 的 付出 ， 向 死 而生 的 深情 。,【 美媒 ： 特朗普 的 苹果 手机 被 中国 监听   华春莹 ： 有些 人 不 遗馀力 角逐 奥斯卡 ， 实在 担心 可 改用 华为 】 《 纽约时报 》 24 日 一篇 文章 称 ， 中国 和 俄罗斯 在 监听 特朗普 的 苹果 手机 。 今日 ， 华春莹 幽默 回应 ： 感觉 美方 有些 人 真是 在 不 遗馀力 角逐 奥斯卡 最佳 剧本 奖 。 如果 很 担心 苹果 手机 被 窃听 ， 可以 改用 华为 。,真的假 的 啊
153,29.0,32506,1,3,5,0,微博 的 世界 不 属于 我 ， 再见 了,[ Morn . Sky ]   做好 自己 ， 演 好 别人 。   — — # 李易峰 [ 超话 ] #,      你 做到 了
160,50.0,25101,1,6,0,1,王凯凯 的 影迷 朋友,# 票友 早安 #   “   心有 大义   ， 宁折不弯 。 ”     |   《 琅 琊 榜 》 ·   靖王 萧景琰   ·   王凯,# 王凯靖 王 萧景琰 [ 超话 ] #   靖王 自有 靖王 的 风骨
161,18.0,36836,1,3,6,0,世上 最 无情 的   莫过于 时间,# 王源 [ 超话 ] ## 王源 BORNFREE 十八岁 演唱会 #   求求 积分,情话 来源 有 千千万 ， 我 只 想 给 你 独一无二 。
161,18.0,36836,1,3,6,0,世上 最 无情 的   莫过于 时间,# 王源 [ 超话 ] ## 联合国儿童基金会 大使 王源 # 求 积分,来 了 互评 呀
161,18.0,36836,1,3,6,0,世上 最 无情 的   莫过于 时间,# 王源 [ 超话 ] ## 联合国儿童基金会 大使 王源 # 求 积分,⭐ ️ 是 孤注一掷 的 无畏 ， 是 勇往直前 的 果敢 。 少年 长成 ， 直面 未来 。     全新 单曲 《 孤注 》 ， 带给 你 少年 的 力量 。
161,18.0,36836,1,3,6,0,世上 最 无情 的   莫过于 时间,# 王源 [ 超话 ] ## 联合国儿童基金会 大使 王源 # 求 积分,“ 王源 你 是 我 的 充电 宝嘛 ？ ！ ” “ 不然 怎么 会 让 我 每次 出门 都 放不下 你 ？ ”
167,22.0,35378,1,2,0,1,微博 知名 情感 账号,谢娜 凌晨 4 点 睡不着 ， 有 谁 注意 到 张杰 的 动作 ？ 网友 ： 成年人 ， 可以 理解,成年人 ， 可以 理解
167,22.0,35378,1,2,0,1,微博 知名 情感 账号,哈文 终于 公布 李咏 真实 病因 ？ 原来 他 并非 因为 喉癌 去世 ！ 这才 是 真相 ...,这才 是 真相
167,22.0,35378,1,2,0,1,微博 知名 情感 账号,谢娜 凌晨 4 点 睡不着 ， 有 谁 注意 到 张杰 的 动作 ？ 网友 ： 成年人 ， 可以 理解,看 的 出来 两人 的 状态 了
167,22.0,35378,1,2,0,1,微博 知名 情感 账号,《 《 延禧 攻略 》 ： 阿满 之 死 祸首 是 她 ， 谁 都 想不到 这个 人 那么 早就 黑化 。 》,那么 早就 黑化
167,22.0,35378,1,2,0,1,微博 知名 情感 账号,怪不得 冯绍峰 和 井柏然 纷纷 离 她 而 去 ， 只 因 她 的 三个 规矩 ？ 网友 ： 难怪 ！,原来如此 啊
168,0.0,0,1,2,7,6,未知,# 华晨 宇冲鸦 [ 超话 ] #,互评 [ 小 仙女 ] 华晨 宇
168,0.0,0,1,2,7,6,未知,# 华晨 宇冲鸦 [ 超话 ] # 又 是 想 华晨 宇 的 一天   又 是 20 个 评论 的 一天,华晨 宇
168,0.0,0,1,2,7,6,未知,# 中国 文娱 金 数据 #   11 月 13 日 【 实力 歌手 活跃 粉丝 榜 】 TOP20 ： 欲 查看 完整 榜单 排名 请 戳     。 # 华晨 宇 [ 超话 ] #   广受 喜爱 位列 第 1 名 ； # 毛 不易 [ 超话 ] #   以 3 万 ＋ 活粉 位列 第 2 ； # 薛之谦 [ 超话 ] #   以近 3 万活 粉 位列 第 3 ； # 李宇春 #   # 周杰伦 #   # 钟汉良 #   # 林俊杰 #   # 邓紫棋 #   # 林宥 嘉 #   # 范玮琪 #   分列 4 - 10 名 ； # 陈奕迅 #   # 潘玮柏 #   # 魏晨 #   # 许嵩 #   # 蔡依林 #   # 田馥 甄 #   # 汪苏 泷 #   # 张碧晨 #   # 迪玛希 #   # 李荣浩 #   等 多位 实力 歌手 也 在 榜 内 。 # 中国 娱乐 指数 #,你宇 休假 ， et 自 嗨
168,0.0,0,1,2,7,6,未知,被 这位 路人 笑 死 了,那 是 实话 ， 国企 唱 这么 好 都 被 嘲 了 一 整年
168,0.0,0,1,2,7,6,未知,    和     合唱 费玉清 的 《 南屏 晚钟 》 ， 改编 的 超级 棒 ， 花花 跳上 钢琴 唱 RAP 的 那一刻 燃炸 了 ， 他 唱歌 的 时候 就是 会 发光 ！,入 坑曲 ， 当时 就 被 震惊 了
168,0.0,0,1,2,7,6,未知,# 华晨 宇冲鸦 [ 超话 ] # 打榜鸦,华晨 宇   互评 [ 小 仙女 ]
168,0.0,0,1,2,7,6,未知,【 网传 华晨 宇 经纪人 辞职 ？ 本人 辟谣 ： 没 辞职   别多想 】 近日 ， 有 网友 曝出 一张     经纪人 王桂红 的 朋友圈 截图 ， 文中 对 合作者 进行 了 感谢 ， 疑似 要 将 结束 和 华晨 宇 的 合作 关系 。 新浪 娱乐 就此 向 王桂红 本人 求证 ， 对方 表示 朋友圈 是因为 工作 忙碌 抒发 感想 ， 并 没有 要 辞职 。,经纪人 两个 热 搜 ？ 服 了 ， 你 出道 吧
171,37.0,29820,1,4,8,3,喜 你 成疾 ， 药石 无医,嗯 … … 看着 直播 睡着   可不可以 我 等同 为   我俩 同床共枕 ？ ？ ？ ？,图片 评论
196,42.0,27982,1,7,9,0,一年四季 皆 是 景       甜酸苦辣 皆 是 味       人生 百味 百景,昨天下午 去 看 牙医 费好 大劲 … 打 了 2 次 麻药 ， 把 去年 做 了 几次 根管 治疗 的 大牙 给 拔掉 了 … 不然 老是 发作 … 非常 麻烦 ， 哎 呦 喂 … 疼 了 一 晚上 … 医生 说 一定 要 吃 消炎药   朋友 们 … 好好 的 保护 牙齿 … 要 早点 治疗 … 不然 很 痛苦 的 哦,不好 要 早点 去 医院 ， 小洞 不补 大洞 苦
208,0.0,0,0,6,0,0,超级 奶霸 ， 乳品 方向 博士 准备 读 啥时候 去 读 还 没定,在 D & G 这事 上 还 在 坚持 坚决 嘲讽 辱骂 中国 和 中国 人 的 。   除了 极度 傻缺 的 。   就 两种 人 。   一种 是 真的 从 内 心里 极端 自我 矮化 ， 恨 爹妈 为什么 给 了 自己 一身 黄皮肤 的 人 。   一种 是 仇恨 社会 ， 活着 的 目的 就是 为了 发泄 这 股 仇恨 的 。,赞 右图 。   / /   : 上图 就 完事 。
208,0.0,0,0,6,0,0,超级 奶霸 ， 乳品 方向 博士 准备 读 啥时候 去 读 还 没定,新粉 买不到 第一 梯队 的 。 但是 看 这个 成分表 挺 好 的 。 求大奶 大大 指引 ～ ～ ～,我 在 巴氏奶 第一 梯队 排名 里 说 得 很 清楚 ， 不 包括 水 牛奶 及娟 珊奶 。 如果 加上 这 两类 奶 ， 估计 第一 梯队 就要 重 排名 了 。 所以 ， 你 尽管 放心 喝 。
208,0.0,0,0,6,0,0,超级 奶霸 ， 乳品 方向 博士 准备 读 啥时候 去 读 还 没定,      好奶 就 得 大口 大口 喝,三口 ， 扔 瓶子 ， 我 。 打钱 。
208,0.0,0,0,6,0,0,超级 奶霸 ， 乳品 方向 博士 准备 读 啥时候 去 读 还 没定,      奶爸 ！ 我 怀孕 的 姐姐 深信 新西兰 的 牛 比 中国 的 牛 开心 ， 产 的 奶 就 更好 。 这是 真的 吗 ？,我 没 跟 新西兰 的 牛深 聊过 ， 奶 好不好 和 奶牛 心情 关系 不太大 ， 毕竟 有 科学 的 理化 指标 在 那儿 卡着 。 不过 据 我 了解 ， 奶质 最好 的 牛 并 不是 新西兰 的 奶牛 ， 是 仙界 的 天牛 。 所以 有 俗语说 “ 喝 一口 天 牛奶 ， 成 千年 不朽 身 ” 。
213,18.0,36751,1,8,0,1,"蔡 徐坤 的 哈士奇 , 个人 博",1 . 什么 都 不会 的 人 还 一天到晚 用 毫不客气 的 话语 指责 辱骂 和 自己 同担 的 人 的 产出 真 该死   不管 骂 的 是不是 我   杠 其他人 其他 事 也 亦然 2 . 我 不 喜欢 超话 而且 我 的 产出 几乎 从不 发超话   我 当年 发过 被 骂 惨 了   所以 我 对 小 部分 ak 也 没有 什么 好感   没有 耐心 也 不会 手下留情 3 . 我 没有 发超话 的 东西   你 在 转发 或者 评论 公然 犯贱 不要 怪 我 不 客气 4 . 我 想 拉 黑 就 拉 黑 谁   我管 你 什么 身份   谁 还 不是 玻璃心   反正 我拉黑 的 ak 也 不少 了   多 一个 也 无妨   我 喜欢 的 是 蔡 徐坤 我 才 不管 你们 呢,mmmb 你好 可怜 ， 加油 ， 不要 被 打扰 了 产出 热情
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙   并肩 前行 #     朱一龙   我 幻想 过 最美 的 月色 ， 期待 过 最亮 的 星光 ， 梦到 过 最 真的 眼眸 。 直到 遇到     我 发现 ， 原来 每 一次 的 期待 都 是 你 。,# 朱一龙 [ 超话 ] # 千磨 万击 还 坚劲 ， 任尔 东西南北 风 。       迎接 每 一个 晨曦 ， 带来 的 是 全新 回忆 。 好好 珍惜 每 一天 ， 能 微笑 就别 抱怨 。
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙   并肩 前行 #   朱一龙 剑眉 星目     [ 小 仙女 ]   朱一龙 相貌堂堂   [ 小 仙女 ] 朱一龙 玉树临风 [ 小 仙女 ]   朱一龙 面如冠玉   [ 小 仙女 ] 朱一龙 才貌双全     [ 小 仙女 ] 朱一龙 品貌非凡   朱一龙   温文尔雅   朱一龙   谦谦君子   朱一龙   温润 如玉   朱一龙   目光 深邃   朱一龙   眼技派   朱一龙   睫毛 精   朱一龙 芳心 狙击手       朱一龙 神仙 颜值       朱一龙 加油 ， 小笼包 陪 你 一起 向前 冲 鸭 ！,# 朱一龙 [ 超话 ] # 春林渐 盛 ， 春水 永生 ， 春风 十里 ， 不如 你 。 朱一龙 彬彬有礼
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙 的 ReFa 甜心 #   ReFa 的 repo 来 啦 ～ 做 了 好多 功课 之后 ， 还是 狠狠心 下手 了 。 吃土 少女 绝不 认输 ！ 为了 少女 肌 的 可 持续 发展性 一定 要 坚持 用 下去 o ( ≧ v ≦ ) o 冲 鸭 ！ 这次 双十 一 活动 购入 了 CARAT   RAY   + S   CARAT   RAY 美容 仪 滚轮 按摩 套装 。 不仅 能 用于 面部 塑形 ， 更 可以 在 全身 各个 部位 使用 ～ 特地 用 了 两天 再 来 反馈 ， 对于 消除 浮肿 、 提拉 紧致 真的 是 肉眼 可见 的 惊喜 效果   更 喜欢 的 是 使用 之后 ， 肌肉 放松 舒适 的 感觉 ， 大大的 缓解 了 一天 疲惫 和 压力 。 另外 颜值 真的 超级 棒 了   感谢       带来 那么 好 的 产品 。 我 一定 会 好好 用 哒 o ( ≧ v ≦ ) o 每天 都 要 坚持 守护 自己 的 初 心肌 ， 细心 呵护 自己 哦 ～,# 朱一龙 [ 超话 ] # 抱 着 随遇而安 的 想法 ， 静静地 等待 ， 不要 烦躁 ， 不要 压抑 ， 总有 雨过天晴 的 时候 。       朱一龙 特别 帅 朱一龙 真 好看 朱一龙 冲 鸭
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙   并肩 前行 #   朱一龙 剑眉 星目     [ 小 仙女 ]   朱一龙 相貌堂堂   [ 小 仙女 ] 朱一龙 玉树临风 [ 小 仙女 ]   朱一龙 面如冠玉   [ 小 仙女 ] 朱一龙 才貌双全     [ 小 仙女 ] 朱一龙 品貌非凡   朱一龙   温文尔雅   朱一龙   谦谦君子   朱一龙   温润 如玉   朱一龙   目光 深邃   朱一龙   眼技派   朱一龙   睫毛 精   朱一龙 芳心 狙击手       朱一龙 神仙 颜值       朱一龙 加油 ， 小笼包 陪 你 一起 向前 冲 鸭 ！,# 朱一龙 [ 超话 ] # 四季 有春 ， 春有 朝晨 ， 朝晨 有 你 ， 方显 珍贵 。 喜欢 朱一龙
224,20.0,35858,1,9,10,0,未知,# 朱一龙 盗墓 笔记 重启 [ 超话 ] #     # 朱一龙   并肩 前行 #   我 是 往事 回首 中 的 一座 云下 青峰 ， 我 是 微雨 后 与 你 的 一场 如约 而候 。     朱一龙 好看 zyl,# 朱一龙 [ 超话 ] # 四季 有春 ， 春有 朝晨 ， 朝晨 有 你 ， 方显 珍贵 。 喜欢 朱一龙 ， 夜入 秋雨 ， 你入 我心
224,20.0,35858,1,9,10,0,未知,"# 许 你 浮生若梦 朱一龙 [ 超话 ] #       # 朱一龙 温柔 的 力量 [ 超话 ] #               我 不 知道 该 说 什么   ， 只是 在 这 一刻 突然 好想你 。               I   do   not   know   what   to   say ,   I   just   suddenly   miss   you   at   this   moment .                 朱一龙 我 好想你       【 许 你 浮生若梦   二十八 集   罗 浮生 】 【 禁二改 ， 二转 表明 出处 】",# 朱一龙 [ 超话 ] # 四季 有春 ， 春有 朝晨 ， 朝晨 有 你 ， 方显 珍贵 。 喜欢 朱一龙
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙 盗墓 笔记 重启 [ 超话 ] #   朱一龙 朱厚照   连 着 三天 翻 牌照 照     看 的 出来 是 真 爱 了 哈哈哈,# 朱一龙 [ 超话 ] # 没有 谁 的 一生 ， 阳光 朗 月 永 相随 ； 没有 谁 的 一生 ， 欢声笑语 永 相伴 。 人生 总 要 经历 一些 坎坷 和 磨练 才能 成长 ， 既然如此 ， 不如 拈花一笑 保持 乐观 的 心态 。       朱一龙 加油 啊
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #             # 最爱 的 朱一龙 [ 超话 ] #   人间 不 值得 ， 但 人间 有美 ；     众生 皆 苦 ， 但 你 是 草莓 味 ；     他们 有 许多 关于 爱 的 道理 ， 我 有 你 。     【 朱一龙 】,# 朱一龙 [ 超话 ] # 十里 春风 吹开 你 的 眉眼   杏花 微雨   不及 你 的 笑靥       支持 朱一龙 ， 喜欢 朱一龙
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #       # 朱一龙   并肩 前行 #     【 朱一龙 】   世界 上 美好 的 东西 不太多 ，   天空 ， 阳光 ， 还有 温柔 的 你 。,# 朱一龙 [ 超话 ] # 遇 你 之后   如舟 靠岸   似燕 归巢 给 你 一句 早安 ， 是 想 让 你 知道 ， 今天 我 在 。
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #     # 朱一龙 盗墓 笔记 重启 [ 超话 ] #   朱一龙 朱厚照   连 着 三天 翻 牌照 照     看 的 出来 是 真 爱 了 哈哈哈,# 朱一龙 温柔 的 力量 [ 超话 ] # 干净 的 痛苦 一定 会 沉淀 ， 沉淀 成 悠闲 。 悠闲 是 痛苦 的 终结 ， 痛苦 是 悠闲 的 代价 。       朱一龙 真 好看
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #             # 最爱 的 朱一龙 [ 超话 ] #   人间 不 值得 ， 但 人间 有美 ；     众生 皆 苦 ， 但 你 是 草莓 味 ；     他们 有 许多 关于 爱 的 道理 ， 我 有 你 。     【 朱一龙 】,没有 谁 的 一生 ， 阳光 朗 月 永 相随 ； 没有 谁 的 一生 ， 欢声笑语 永 相伴 。 人生 总 要 经历 一些 坎坷 和 磨练 才能 成长 ， 既然如此 ， 不如 拈花一笑 保持 乐观 的 心态 。       朱一龙 特别 帅
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #         # 朱一龙   并肩 前行 #     早安 。 想拢 龙 了 。 今天 是不是 有 门票 要 抢 。 又 有 新鲜 的 拢 龙 了 。   朱一龙 好看 。 朱一龙 有 礼貌 。 朱一龙 爱心 公益,# 朱一龙 [ 超话 ] # 我 喜欢 夏天 的 雨   雨后 的 光   和 任何 时候 的 你       朱一龙 真 好看
224,20.0,35858,1,9,10,0,未知,# 朱一龙 温柔 的 力量 [ 超话 ] #       # 朱一龙   并肩 前行 #   朱一龙 好好 拍戏 ， 我们 等 你 ！ 好好 工作 ， 好好 生活 ！ 还有 就是 好好 爱 你 ！,# 朱一龙 温柔 的 力量 [ 超话 ] #       # 朱一龙   并肩 前行 #     朱一龙   遇见 你 开始   我 将 所有 晦暗 都 留给 过往   从此   凛冬散 去   星河 长 明         支持 朱一龙 特别 帅 朱一龙 真 好看
